[<td class="views-field views-field-nothing">
            
James Stern &amp; Audrey Andrist</strong>- "12 Poems: No. 9, Barcarolle"         ;

            
Beach House</strong>- "L'Inconnue"         ;

            
Gurrumul</strong>- "Galiku (Flag)"         ;

            
Lost Generation</strong>- "This is the Lost Generation"         ;

            
--</strong>- "--"         ;

            
DJ Koze</strong>- "Drone Me Up, Flashy (feat. Sophia Kennedy)"         ;

            
Gang Gang Dance</strong>- "Too Much, Too Soon"         ;

            
Experimental Sound Collective of ICAIC (Rodriguez Milanes-Nicola)</strong>- "Reza El Cartel Alli"         ;

            
Adrian Dziewanski</strong>- "A Common Dust"         ;

            
--</strong>- "--"         ;

            
Thessalonians</strong>- "Astronaut Voices"         ;

            
Chancha Via Circuito</strong>- "Nadie Lo Riega"         ;

            
Yao Surong</strong>- "Thinking of the Past"         ;

            
Areon Flutes</strong>- "Bade Saba (Sahba Aminikia)"          </td>]
